time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/explained_variance,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/value_loss,eval/mean_ep_length,eval/mean_reward
626688,101.71,-2.3596373699999997,153,649,965,0.9477279670536518,0.030399282,0.2,-0.03292358671242255,-0.044179849326610565,-1.8707419123500586,0.3018798828125,1520,0.0003,0.0032284056340358804,,
630784,102.08,-2.35403974,154,653,964,0.9616484865546227,0.03315188,0.2,-0.028391941731388214,-0.07710617780685425,-1.832788035646081,0.3177001953125,1530,0.0003,0.0027560204342989892,,
634880,102.18,-2.35416543,155,657,964,0.9477095194160938,0.031935602,0.2,-0.028322761222079863,-0.040923669934272766,-1.845942647010088,0.2883544921875,1540,0.0003,0.0038396735922106018,,
638976,102.3,-2.3250305,156,662,964,0.9533678293228149,0.0309504,0.2,-0.03177146502493997,-0.06843619048595428,-1.7952941289171576,0.285400390625,1550,0.0003,0.00278636214125072,,
640000,,,,,,0.9602032378315926,0.031063324,0.2,-0.030260398610698756,-0.051814571022987366,-1.7750468332320453,0.277587890625,1560,0.0003,0.003322621280858584,101.6,-1.7548112000000002
643072,101.89,-2.28470298,157,667,964,,,,,,,,,,,,
647168,100.57,-2.24238439,158,671,964,0.9494331032037735,0.029017812,0.2,-0.028882557321776404,-0.05275089293718338,-1.7740474263206125,0.284033203125,1570,0.0003,0.0037546726070104342,,
651264,99.97,-2.2891711,159,675,964,0.9565143473446369,0.027464695,0.2,-0.026931322333985007,-0.043442629277706146,-1.7450410073623062,0.28515625,1580,0.0003,0.0034888430554929073,,
655360,99.95,-2.2802762999999997,160,679,965,0.9503278471529484,0.033224482,0.2,-0.030801610908747536,-0.05418635904788971,-1.7052705381065607,0.29609375,1590,0.0003,0.0034406390484036818,,
659456,100.16,-2.25430142,161,683,965,0.9498483538627625,0.0260759,0.2,-0.027973155707149998,-0.07031593471765518,-1.7216685052961112,0.2568115234375,1600,0.0003,0.0034429225735038925,,
660000,,,,,,0.951305478811264,0.029155938,0.2,-0.031489875649276654,-0.04513531178236008,-1.7204108640551568,0.288720703125,1610,0.0003,0.003165057336809696,98.0,-1.9260741999999997
663552,100.83,-2.28478311,162,687,964,,,,,,,,,,,,
667648,100.84,-2.3224720300000006,163,691,965,0.9526489712297916,0.03701082,0.2,-0.032993382856511745,-0.007911419495940208,-1.7985037203878165,0.3148193359375,1620,0.0003,0.0032595889747426554,,
671744,101.21,-2.35720384,164,695,965,0.9567165412008762,0.031000521,0.2,-0.03280680016905535,-0.05816880613565445,-1.8539438042789698,0.29658203125,1630,0.0003,0.002939312838952901,,
675840,101.83,-2.3912929700000003,165,699,965,0.9561858251690865,0.030351803,0.2,-0.032916052423024665,-0.04948429390788078,-1.865566691942513,0.3007568359375,1640,0.0003,0.003254085584831046,,
679936,101.76,-2.3919775700000003,166,704,965,0.959272850304842,0.034145705,0.2,-0.029400887467636493,-0.05858512595295906,-1.8597467377781869,0.2880859375,1650,0.0003,0.003129524042378762,,
680000,,,,,,0.9510834291577339,0.032250002,0.2,-0.03058892332337564,-0.04512179270386696,-1.8231862904503942,0.302197265625,1660,0.0003,0.0035163728238330806,96.2,-1.6552232
684032,101.95,-2.3727720000000003,167,708,965,,,,,,,,,,,,
688128,102.3,-2.4121075299999997,168,712,965,0.958335243165493,0.02792279,0.2,-0.032179131188604514,-0.04724615439772606,-1.8017302071675658,0.283349609375,1670,0.0003,0.003185399234007491,,
692224,101.08,-2.32664911,169,716,965,0.9516601786017418,0.03487291,0.2,-0.03414414558828867,-0.05456104874610901,-1.7769477762281896,0.322412109375,1680,0.0003,0.0037658792374713813,,
696320,99.2,-2.26957962,170,720,966,0.94632563367486,0.031803485,0.2,-0.032711581134935844,-0.05925773084163666,-1.714279254153371,0.2847900390625,1690,0.0003,0.004278027953478159,,
700000,,,,,,0.9541461206972599,0.033436134,0.2,-0.03750880570078152,-0.026614412665367126,-1.72451728656888,0.3122314453125,1700,0.0003,0.004185491687348985,87.0,-1.4497216
700416,100.03,-2.34020882,171,725,965,,,,,,,,,,,,
704512,101.18,-2.3727917,172,729,965,0.9605084881186485,0.033643834,0.2,-0.030795824446249752,-0.04215489327907562,-1.7049278819933533,0.2964599609375,1710,0.0003,0.004056605719051731,,
708608,100.72,-2.39980597,173,734,965,0.9434529133141041,0.030927557,0.2,-0.03158428934184485,-0.06039418652653694,-1.7508521830663084,0.2907470703125,1720,0.0003,0.004784810273304174,,
712704,101.4,-2.3871775299999998,174,737,965,0.9457130171358585,0.030773152,0.2,-0.0348567198649107,-0.03475586324930191,-1.712796307168901,0.2923095703125,1730,0.0003,0.004540261613692564,,
716800,102.07,-2.37003651,175,741,966,0.9465363807976246,0.033693846,0.2,-0.03027376431346056,-0.04791559651494026,-1.6921075094491242,0.3069091796875,1740,0.0003,0.0036427065047973882,,
720000,,,,,,0.9525775164365768,0.033054184,0.2,-0.033905638966098196,-0.06362950056791306,-1.7123468894511462,0.2946533203125,1750,0.0003,0.004209745432854106,87.8,-2.0083754
720896,102.53,-2.3759971699999998,176,745,966,,,,,,,,,,,,
724992,101.28,-2.3759599,177,749,966,0.9519912227988243,0.035674732,0.2,-0.03423584189586108,-0.07158446311950684,-1.678939912468195,0.31416015625,1760,0.0003,0.004591753779641295,,
729088,101.78,-2.38376124,178,753,967,0.9591667577624321,0.033436604,0.2,-0.02876006096266792,-0.06531288474798203,-1.679882056452334,0.3101806640625,1770,0.0003,0.0035784442579824827,,
733184,101.8,-2.40684459,179,757,967,0.9662443287670612,0.03578361,0.2,-0.03350066455604974,-0.06823171675205231,-1.7029690425843,0.3101318359375,1780,0.0003,0.002976793241668929,,
737280,101.35,-2.4088792100000003,180,762,967,0.9528288953006268,0.031409226,0.2,-0.03089914111260441,-0.07918453216552734,-1.6166322195902467,0.299658203125,1790,0.0003,0.0034754796010020073,,
740000,,,,,,0.937639944255352,0.03178265,0.2,-0.030069634351093555,-0.016645777970552444,-1.627407523803413,0.295849609375,1800,0.0003,0.004213713452918455,94.4,-2.0561048
741376,101.4,-2.3828842,181,766,967,,,,,,,,,,,,
745472,100.19,-2.2998199500000003,182,770,967,0.9388414397835732,0.032409947,0.2,-0.03001156417740276,-0.042995065450668335,-1.6413096288219093,0.291796875,1810,0.0003,0.0045344332476815906,,
