#{"t_start": 1708833692.834356, "env_id": "scheduler-customEnv"}
r,l,t
12.851124,51,187.885498
10.52015,59,188.109312
10.518457,56,188.219232
14.485641,49,188.402113
7.632983,58,188.530366
12.083538,55,188.640279
16.771007,46,188.742286
14.505792,49,188.845119
15.809691,46,188.948402
18.226335,42,189.024289
17.192157,43,189.108423
17.181937,42,189.186137
16.574824,44,189.521231
11.082902,54,189.830426
18.837399,39,190.208921
12.947668,56,190.914571
13.87758,50,191.10364
15.17165,48,191.168247
11.526221,55,191.36291
14.184548,51,191.848214
7.931058,59,192.059336
15.535958,45,192.139758
14.555803,48,192.245673
11.954808,55,192.349264
16.821449,43,192.422421
10.440985,55,192.58701
15.733205,44,192.672262
6.655346,62,192.793743
13.169487,52,192.899583
10.640181,55,193.008255
13.82275,49,193.100704
13.993976,49,193.295289
14.080204,50,193.394107
12.740964,54,193.505233
17.906611,42,193.685361
16.287261,44,193.773237
11.528735,54,193.869081
19.234204,44,193.952466
14.528573,51,194.06414
8.691433,60,194.195712
16.348292,47,194.280843
16.635515,45,194.368764
15.357838,45,194.45633
17.628763,42,194.652465
12.617111,51,194.770313
13.633044,51,194.880847
14.942204,48,194.970849
17.507129,45,195.365871
12.279076,52,195.482732
17.255813,46,195.578805
17.613943,42,195.66994
17.217778,41,195.744185
14.294933,44,195.814875
16.080026,45,195.922658
17.363826,44,195.99924
17.705097,38,196.079534
16.456488,46,196.156319
4.604277,66,196.296118
11.423792,55,196.395234
17.697756,43,196.485842
15.328557,49,736.877007
14.794445,47,737.997331
15.229889,46,738.649398
19.112831,40,738.731369
19.144931,42,738.817271
14.132687,49,739.159267
17.202458,43,739.284776
15.659405,47,739.382157
9.005559,56,739.734499
-44.589606,165,740.160873
10.893491,55,740.29591
18.28312,43,740.607169
12.957975,51,741.107831
15.313237,46,741.862376
17.111802,43,741.948066
17.390864,39,742.023277
17.606813,42,742.106761
18.372207,40,742.206207
9.235322,62,742.327088
16.372189,43,742.407245
16.534402,45,742.501069
16.957363,42,742.600887
13.390849,52,742.68473
17.879045,41,742.756164
18.150653,43,742.836546
17.278561,45,742.908299
9.049891,58,743.081601
12.820174,49,743.183873
17.440382,41,743.281225
